Supplier,VAT Exclusive,VAT,Zimasa VAT Inclusive,Date
42 Upon Williams Guesthouse (42W),,2034.78,15600.0,2024-10-01
Airlink Airline (820),,958.18,7346.0,2024-10-01
Anew Hotel,,18579.65,142444.0,2024-10-01
Anew Hotel,,1074.71,8239.44,2024-10-01
Anew Resort,,507.64,3891.94,2024-10-01
Annvilla Guest House (Avl),,714.13,5475.0,2024-10-01
At Grace Guesthouse (Atg),,11739.13,90000.0,2024-10-01
Avis Mmabatho Mahikeng (Avr),,985.49,7555.56,2024-10-01
Bakubung Bush Lodge (Bkb),,469.57,3600.0,2024-10-01
Be@Home,,5021.75,38500.0,2024-10-01
Birchwood Hotel & Or Tambo Conference Centre (Bho),,1346.09,10320.0,2024-10-01
Cashan Bnb (Cbb),,339.13,2600.0,2024-10-01
City Lodge Hotel,,1164.78,8930.0,2024-10-01
City Lodge Hotel,,2863.69,21955.0,2024-10-01
City Lodge Hotel,,2955.26,22657.0,2024-10-01
Dithabeng View Guest House (Dvg),,176.09,1350.0,2024-10-01
Doxa/Mirah/Chess Bb (Dmc),,143.48,1100.0,2024-10-01
Emperors Palace Peermont Metcourt Hotel (Emc),,6542.09,50156.0,2024-10-01
Europrime Hotels (Euh),,365.22,2800.0,2024-10-01
Ez Shuttle (Ezs),,434.35,3330.0,2024-10-01
Garden Court,,1890.0,14490.0,2024-10-01
Garden Court,,6984.78,53550.0,2024-10-01
Garden Court,,0.0,1530.0,2024-10-01
Garden Court,,5723.47,43880.0,2024-10-01
Gettys Bed And Breakfast (Ggh),,357.39,2740.0,2024-10-01
Grace Place B & B (Gpb),,547.83,4200.0,2024-10-01
Graceland Conference & Lifestyle Centre (Grc),,743.48,5700.0,2024-10-01
Green Side Accomodation (Gs),,191.74,1470.0,2024-10-01
Ikanyeng Guest House (Ikn),,365.22,2800.0,2024-10-01
K&B Guesthouse (Kng),,605.22,4640.0,2024-10-01
K3B Guesthouse (Kbg),,2100.0,16100.0,2024-10-01
Kenzo Guest House (Kgh),,756.52,5800.0,2024-10-01
Kings Gate Hotel (Knd),,298.7,2290.0,2024-10-01
Kings Palace  Hotel (Kph),,1826.09,14000.0,2024-10-01
Kriel Bed & Breakfast (Krl),,352.17,2700.0,2024-10-01
La Maison De Veille Guest House (Lmd),,8765.22,67200.0,2024-10-01
Lala @ Night Guesthouse (Lng),,12658.67,97050.0,2024-10-01
Letsatsing Lodge (Lel),,606.52,4650.0,2024-10-01
Letsema Guest House (Ltm),,1408.7,10800.0,2024-10-01
Lily Park Lodge (Lli),,1323.92,10150.0,2024-10-01
Lily Park Lodge (Lpl),,208.7,5800.0,2024-10-01
Limbali Cottages (Lbc),,1017.4,7800.0,2024-10-01
Masego Guest House (Mgh),,678.26,5200.0,2024-10-01
Modizen Guest House (Mdz),,183.91,1410.0,2024-10-01
Mogologadikwe Gardens (Mgd),,834.79,6400.0,2024-10-01
Monsieur Devan Klersdorp (Mdk),,704.35,5400.0,2024-10-01
Myburgh Bed & Breakfast (Myb),,4402.16,33750.0,2024-10-01
Oryx Boutique Hotel (Obh),,3508.7,26900.0,2024-10-01
Palm Swift,,1069.57,8200.0,2024-10-01
Park Inn By Radisson Polokwane (Pib),,637.83,4890.0,2024-10-01
Peermont Metcourt Hotel (Pmh),,4708.7,36100.0,2024-10-01
Premier Hotel Cape Town (Prt),,388.57,2979.0,2024-10-01
Premier Splendid Inn Bloemfontein (Psb),,1555.5,11925.5,2024-10-01
Prison View Guesthouse (Pvg),,2510.86,19250.0,2024-10-01
Prota Hotel Or Tambo Airport (Pra),,666.38,5108.91,2024-10-01
Protea By Marriott,,2088.33,16010.5,2024-10-01
Protea By Marriott,,17496.59,134140.5,2024-10-01
Protea By Marriott,,673.04,5160.0,2024-10-01
Protea Hotel By Marriot Klerksdorp (Pkk),,5965.3,45733.95,2024-10-01
Protea Hotel Polokwane (Php),,231.52,1775.0,2024-10-01
Protea Hotel Polokwane Ranch Resort (Tnc),,1846.96,14160.0,2024-10-01
Rejabotlhe Guest House (Rjb),,756.52,5800.0,2024-10-01
Rengwe Guest House (Rgg),,195.0,1495.0,2024-10-01
Rio Hotel Casino Resort (Rhc),,9938.47,76195.0,2024-10-01
Seasons Conference And Weddings (Scw),,55846.95,428160.0,2024-10-01
Southern Sun,,2113.05,16200.0,2024-10-01
Southern Sun,,3516.52,26960.0,2024-10-01
Southern Sun,,815.35,6251.0,2024-10-01
Southern Sun,,1260.0,9660.0,2024-10-01
Stayeasy Rustenburg (Str),,840.0,6440.0,2024-10-01
Sun City,,2328.26,17850.0,2024-10-01
Sun City,,3118.7,23910.0,2024-10-01
The Centurion Hotel (Tch),,399.13,3060.0,2024-10-01
The Cycad Lodge & Chalets (Cl),,991.3,7600.0,2024-10-01
The Grand Comfort Lodge (Tgc),,528.26,4050.0,2024-10-01
The Key Guest Villa (Tkg),,318.26,2440.0,2024-10-01
The Palms Guesthouse (Tth),,3443.48,26400.0,2024-10-01
37 On Eagles (37O),,439.57,3370.0,2024-11-01
41 On Market Lodge (41O),,260.87,2000.0,2024-11-01
Anew Green Point Cape Town (An),,755.22,5790.0,2024-11-01
Anew Hotel,,229.5,1759.5,2024-11-01
Anew Hotel,,536.95,4116.59,2024-11-01
Anew Resort,,221.74,1700.0,2024-11-01
Anew Resort,,461.74,3540.0,2024-11-01
Anew Resort,,507.65,3892.0,2024-11-01
Avis (Avs),,998.79,7657.39,2024-11-01
Avis Mmabatho Mahikeng (Avr),,811.43,6221.0,2024-11-01
Avis Rent A Car - Cape Town International Airport (Avi),,429.0,3289.0,2024-11-01
Be@Home,,3441.83,26387.35,2024-11-01
Blackrock Resort (Brr),,2230.43,17100.0,2024-11-01
Cascades Hotel (Csh),,1531.3,11740.0,2024-11-01
Cashan Bnb (Cbb),,339.13,2600.0,2024-11-01
Cemair (018),,871.5,7278.88,2024-11-01
City Lodge Hotel,,950.61,7288.0,2024-11-01
City Lodge Hotel,,412.45,3162.16,2024-11-01
City Lodge Hotel,,1012.7,7764.0,2024-11-01
City Lodge Hotel,,361.96,2775.0,2024-11-01
Emperors Palace Mondior Hotel (Emm),,3060.0,23460.0,2024-11-01
Fly Safair (640),,1799.52,13796.28,2024-11-01
Gettys Bed And Breakfast (Ggh),,949.57,7280.0,2024-11-01
Grande Kloof Boutique Hotel (Grb),,717.39,5500.0,2024-11-01
Hertz Rent A Car  Mahikeng Mahikeng (Hrm),,678.12,5198.92,2024-11-01
K&B Guesthouse (Kng),,199.57,1530.0,2024-11-01
K3B Guesthouse (Kbg),,2163.58,16587.34,2024-11-01
Kenzo Guest House (Kgh),,2269.56,17400.0,2024-11-01
"La Patre Resturant, Guesthouse & Conference (Lpt)",,1017.4,7800.0,2024-11-01
Lala @ Night Guesthouse (Lng),,1141.3,8750.0,2024-11-01
Lily Park Lodge (Lpl),,893.48,6850.0,2024-11-01
Limbali Cottages (Lbc),,1017.4,7800.0,2024-11-01
Lotlametswe B&B (Lbb),,215.22,1650.0,2024-11-01
Masego Guest House (Mgh),,339.13,2600.0,2024-11-01
Motheo Exquisite Guesthouse (Meg),,234.78,1800.0,2024-11-01
Ngulube Lodge (Nln),,176.09,1350.0,2024-11-01
Nwu Sports Village (Sv),,496.96,3810.0,2024-11-01
Orion Safari,,0.0,9180.0,2024-11-01
Oryx Boutique Hotel (Obh),,2152.16,16500.0,2024-11-01
Palm Swift,,678.26,5200.0,2024-11-01
Premier Hotel Pretoria (Prp),,199.57,1530.0,2024-11-01
Protea By Marriott,,2030.41,15566.41,2024-11-01
Protea Fire & Ice Menlyn (Pfi),,1996.51,15306.6,2024-11-01
Protea Hotel By Marriot Klerksdorp (Pkk),,5502.49,42185.6,2024-11-01
Protea Hotel Mowbray (Ppm),,1460.87,11200.0,2024-11-01
Rengwe Guest House (Rgg),,390.0,2990.0,2024-11-01
Rio Hotel Casino Resort (Rhc),,1470.0,11270.0,2024-11-01
Road Lodge Potchefstoom (Rdp),,1538.48,11795.0,2024-11-01
Selamod Village Guest House (Svg),,150.0,1150.0,2024-11-01
Southern Sun,,2028.26,15550.0,2024-11-01
Southern Sun,,576.52,4420.0,2024-11-01
Stayeasy Rustenburg (Str),,195.65,1500.0,2024-11-01
Sun City,,11223.92,86050.0,2024-11-01
Sun City,,886.96,6800.0,2024-11-01
Sun City,,71560.69,548631.9,2024-11-01
The Capital,,1296.57,9940.4,2024-11-01
The Palms Guesthouse (Tth),,1173.91,9000.0,2024-11-01
The Red Cherry Guest House (Trc),,208.7,1600.0,2024-11-01
The Royal Marang Hotel (Trm),,3481.83,26694.0,2024-11-01
The Willows Garden Hotel (Wgh),,208.04,1595.0,2024-11-01
Town Lodge,,1891.3,14500.0,2024-11-01
Villa Gracia Guesthouse Klerksdorp (Vgg),,189.13,1450.0,2024-11-01
Anew Hotel,,7184.35,55080.0,2024-12-01
Avis King Shaka Durban (Ak),,630.67,4835.11,2024-12-01
Avis Polokwane Polokwane (Ac),,10247.8,78566.47,2024-12-01
Avis Rent A Car - Cape Town International Airport (Avi),,206.48,1583.0,2024-12-01
Be@Home,,1305.66,10010.0,2024-12-01
Blue Waters Hotel (Bwh),,809.48,6206.0,2024-12-01
Boitumelo Lodges & Conference Facility (Bgh),,12482.61,95700.0,2024-12-01
Bona Bona Lodge (Boa),,626.09,4800.0,2024-12-01
Cascades Hotel (Csh),,793.04,6080.0,2024-12-01
City Lodge Hotel,,230.87,1770.0,2024-12-01
City Lodge Hotel,,4014.78,30780.0,2024-12-01
Die Geelhuis Resturant & Gastehuis (Dgh),,866.09,6640.0,2024-12-01
Doxa/Mirah/Chess Bb (Dmc),,3913.04,30000.0,2024-12-01
Europrime Hotels (Euh),,730.43,5600.0,2024-12-01
Flora Hill Guest House (Flo),,97.5,747.5,2024-12-01
Fly Safair (640),,5535.0,45171.9,2024-12-01
Garden Court,,598.7,4590.0,2024-12-01
Sun City,,1598.41,12254.5,2024-12-01
Hertz Or Tambo Or Tambo (Htz),,426.26,3268.0,2024-12-01
Hertz Rent A Car  Mahikeng Mahikeng (Hrm),,678.12,5198.92,2024-12-01
Hertz Rent A Car - Cape Town International Airport (Hrc),,478.43,3668.0,2024-12-01
Hotel Sky Sandton (Hss),,187.83,1440.0,2024-12-01
K3B Guesthouse (Kbg),,5726.09,43900.0,2024-12-01
Kassaboera Lodge (Kl),,1186.98,9100.0,2024-12-01
Kenzo Guest House (Kgh),,2504.35,19200.0,2024-12-01
"La Patre Resturant, Guesthouse & Conference (Lpt)",,1356.53,10400.0,2024-12-01
Lala @ Night Guesthouse (Lng),,3423.91,26250.0,2024-12-01
Letsema Guest House (Ltm),,1721.74,13200.0,2024-12-01
Lichtenburg     Guesthouse (Lgt),,816.52,6260.0,2024-12-01
Lily Park Lodge (Lpl),,547.83,0.0,2024-12-01
Limbali Cottages (Lbc),,678.27,5200.0,2024-12-01
Masego Guest House (Mgh),,1017.39,7800.0,2024-12-01
Maseru Entertainment Parks (Mep),,5986.96,45900.0,2024-12-01
Midrand Conference Centre (Mcv),,3284.35,25180.0,2024-12-01
Nwu Sports Village (Sv),,165.65,1270.0,2024-12-01
Oryx Boutique Hotel (Obh),,4695.65,36000.0,2024-12-01
Palm Swift,,528.26,4050.0,2024-12-01
Pigmy Lodge (Pld),,1369.57,10500.0,2024-12-01
Premier Hotel Cape Town (Prt),,2847.13,21828.0,2024-12-01
Prison View Guesthouse (Pvg),,202.17,1550.0,2024-12-01
Protea By Marriott,,1031.88,7911.07,2024-12-01
Protea Fire & Ice Menlyn (Pfi),,811.32,6220.14,2024-12-01
Protea Hotel By Marriot Klerksdorp (Pkk),,502.37,3851.5,2024-12-01
Pumba'S Bed And Breakfast (Pmg),,875.22,6710.0,2024-12-01
Rio Hotel Casino Resort (Rhc),,911.87,6991.0,2024-12-01
Sannieshof Lodge And Events (Snn),,26263.04,201350.0,2024-12-01
Southern Sun,,230.87,1770.0,2024-12-01
Southern Sun,,39.13,300.0,2024-12-01
Sparkling Waters Hotel & Spa (Spw),,399.13,3060.0,2024-12-01
Stayeasy Cape Town (St),,3363.26,25785.0,2024-12-01
Sun City,,2126.09,16300.0,2024-12-01
Sun City,,40763.46,312520.0,2024-12-01
Sundown Country Estate (Sce),,540.0,4140.0,2024-12-01
The Capital,,487.83,3740.0,2024-12-01
The Feather Hill Boutique Hotel (Thf),,2556.0,19596.0,2024-12-01
The Kingdom Resort (Tkr),,6612.38,50695.0,2024-12-01
The Red Cherry Guest House (Trc),,1186.96,9100.0,2024-12-01
The Royal Marang Hotel (Trm),,1523.23,11678.02,2024-12-01
Toro Guest House (Tor),,339.13,2600.0,2024-12-01
Safari Lodge,,900.0,6900.0,2024-12-01
Villa Maria Guest Lodge (Vmg),,816.0,6256.0,2024-12-01
Waterfront Guesthouse,,1836.0,14076.0,2024-12-01
