Supplier,VAT Exclusive,VAT,Zimasa VAT Inclusive,Date
Rustenburg Boutique Hotel (Rbh),,363.91,2790.0,2023-09-01
S A Airways (083),,4068.15,31189.15,2023-09-01
Sandton Lodge Rivonia (Slr),,547.43,4197.0,2023-09-01
Santai Guesthouse (Sng),,143.48,1100.0,2023-09-01
Shaka Tours & Safaris (Sts),,747.39,5730.0,2023-09-01
Southern Sun,,5321.74,40800.0,2023-09-01
Southern Sun,,2296.6,17607.25,2023-09-01
Southern Sun,,1140.0,8740.0,2023-09-01
Southern Sun,,210.0,1610.0,2023-09-01
Stayeasy Rustenburg (Str),,1042.9,7995.58,2023-09-01
Stonehenge River Lodge (Sth),,3819.16,29280.21,2023-09-01
Sun City,,5546.74,42525.0,2023-09-01
Sundowner Lodge And Caravan Park (Sdl),,97.83,750.0,2023-09-01
The Capital,,399.13,3060.0,2023-09-01
The Capital,,1234.8,9466.8,2023-09-01
The Palace Hotel (Tph),,1707.65,13092.0,2023-09-01
The Red Cherry Guest House (Trc),,834.78,6400.0,2023-09-01
Three Oaks And An Aloe Boutique Hotel (Toh),,457.83,3510.0,2023-09-01
Treefern Guesthouse With Spa (Tfg),,2034.79,15600.0,2023-09-01
Villa Brocant Guesthouse (Vbg),,168.26,1290.0,2023-09-01
Villa Maria,,233.35,1789.0,2023-09-01
@Home Guest House (Hgh),,678.26,5200.0,2023-10-01
Acres Inn Klerksdorp (Aik),,1584.78,12150.0,2023-10-01
Airlink Airline (820),,3415.35,26184.35,2023-10-01
Alec Wright'S Guest Lodge (Awg),,849.0,6509.0,2023-10-01
Anew Hotel,,4252.17,32600.0,2023-10-01
Anew Hotel,,1294.31,9923.06,2023-10-01
Anew Resort,,210.0,1610.0,2023-10-01
Anew Resort,,1856.35,14232.0,2023-10-01
Annvilla Guest House (Avl),,1873.04,14360.0,2023-10-01
Avis Or Tambo (Avo),,1766.09,13540.0,2023-10-01
